"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"TCGA-D8-A1XR-01",-0.390036523342133,1.75576984882355,-1.75592422485352,-2.55537056922913,0.601945519447327,-2.77720379829407,0.474804252386093,0.432476878166199,-0.422052323818207,0.779208183288574,-0.230132669210434,0.443022072315216,0.034941378980875,0.911965250968933,-1.06926798820496
"TCGA-E2-A1IJ-01",-0.0488694943487644,0.698357582092285,0.854509234428406,-0.0284511614590883,-0.261948943138123,-0.0593020059168339,1.0603893995285,0.277804791927338,-0.995221197605133,0.200811833143234,0.0531385019421577,-1.09600615501404,-0.0608648583292961,-1.48743057250977,0.0541305802762508
"TCGA-GM-A2DH-01",0.178905010223389,-0.955713987350464,-0.0833009630441666,1.42388784885406,-0.588914453983307,0.164193019270897,1.46765494346619,-0.469211488962173,0.661951661109924,-1.25124502182007,-1.7307835817337,0.645610630512238,-0.537251651287079,0.591614723205566,-0.223398864269257
"TCGA-BH-A42V-01",0.246037304401398,0.943263530731201,1.63008487224579,0.925340890884399,0.493036329746246,1.20040786266327,-0.550848007202148,-0.813179671764374,-0.13690659403801,-1.09992480278015,0.231174409389496,0.618920981884003,0.88774573802948,-0.551584243774414,0.365421146154404
"TCGA-A1-A0SH-01",-0.333252936601639,1.09916567802429,0.0251320227980614,-0.118705302476883,-2.52704882621765,0.364692717790604,-0.0174813102930784,-1.12054657936096,0.486685693264008,-0.458720952272415,0.207457408308983,-1.97972750663757,1.44400024414062,-0.861296057701111,-0.17173245549202
"TCGA-AR-A1AQ-01",-1.55133581161499,-2.85119676589966,0.136637791991234,1.62421309947968,-0.868092119693756,0.142329633235931,0.372837781906128,1.22641706466675,-1.33265602588654,-1.19624316692352,0.169427707791328,-0.132950618863106,-0.362664401531219,1.27188682556152,0.368914783000946
"TCGA-A7-A0DC-01",0.090346597135067,2.15178513526917,-1.65879988670349,-0.925575852394104,-2.59195876121521,-0.624201953411102,-1.97744119167328,-0.501799702644348,1.51207864284515,-2.30211043357849,1.17915058135986,1.51838517189026,-0.136122509837151,1.58586597442627,-0.637133419513702
"TCGA-A1-A0SN-01",2.00068545341492,-0.278701424598694,0.129872992634773,0.977674782276154,-0.947795510292053,0.940824747085571,0.197369113564491,0.982752740383148,-0.130869656801224,0.785108208656311,-0.137530952692032,-1.01623773574829,-0.0688177719712257,-0.743975460529327,0.479213535785675
"TCGA-BH-A0E0-11",-2.87150096893311,1.28471851348877,1.66589617729187,0.807268083095551,0.535330533981323,0.807419717311859,-0.889820158481598,-1.10988903045654,0.474093049764633,1.24928462505341,0.936805367469788,0.835223972797394,0.316571235656738,0.779577553272247,0.0456629581749439
"TCGA-E9-A22B-01",1.59634268283844,0.238783180713654,-0.386985629796982,1.46354305744171,1.37125730514526,0.47589373588562,-1.22484970092773,0.988298892974854,1.43407595157623,-0.0334410704672337,1.07003617286682,-1.05836164951324,-0.504741251468658,0.170344159007072,0.416379690170288
"TCGA-BH-A0HA-11",-3.31144571304321,0.751745223999023,1.89953517913818,0.649111926555634,-1.71941018104553,1.01868653297424,-1.50464189052582,-1.379927277565,-0.0276903063058853,1.0807318687439,-1.45347571372986,0.803861677646637,0.199166670441628,0.798287570476532,-0.0723424479365349
"TCGA-E9-A1N4-11",-2.85604500770569,0.735651731491089,1.95911598205566,0.133726716041565,-0.975123107433319,0.510644853115082,-0.977595806121826,-0.885222494602203,-0.342604875564575,1.15266907215118,-1.49376618862152,0.42899164557457,0.521113753318787,0.716382622718811,-0.414443850517273
"TCGA-S3-AA10-01",-1.96518754959106,-3.07544898986816,-0.124698765575886,-0.261932671070099,-0.885634243488312,-0.609900057315826,-0.649221479892731,1.19809949398041,-0.457398563623428,-1.62780213356018,0.747088849544525,-0.138965860009193,-0.392428278923035,-0.97961038351059,-0.667305946350098
"TCGA-A1-A0SE-01",0.305028468370438,1.1696503162384,1.55361759662628,-1.01242184638977,-1.54677700996399,0.21230049431324,-0.402936786413193,-1.01336276531219,-0.340541124343872,-0.664891481399536,-0.916270792484283,-0.495952516794205,1.55410504341125,-0.601822376251221,0.588916718959808
"TCGA-OL-A5RV-01",-0.556635618209839,1.1841094493866,2.05855989456177,-0.165497407317162,-0.605252802371979,-1.0973607301712,0.494150072336197,-0.400866806507111,0.0926125571131706,0.479393362998962,-0.342859923839569,0.549389064311981,0.166121780872345,-0.46571096777916,1.27065205574036
"TCGA-A2-A3XV-01",1.87618923187256,-1.52683246135712,-1.32947373390198,1.31763219833374,0.208007708191872,1.2711226940155,2.01084351539612,-2.05227661132812,-0.830742657184601,2.36214733123779,0.622481167316437,1.67086744308472,1.33372938632965,1.8293799161911,0.36988639831543
"TCGA-A7-A3IZ-01",2.86861133575439,1.02700912952423,-1.10149323940277,-0.163761734962463,-0.681144654750824,-1.04005706310272,-1.76811420917511,-0.985144853591919,-1.83944582939148,-1.19084095954895,-1.42024326324463,0.427344352006912,-0.277328431606293,1.09223103523254,-0.313441842794418
"TCGA-E2-A1LS-11",-3.53396344184875,0.716685056686401,-3.15836834907532,0.244890779256821,3.11649703979492,1.59530246257782,-1.48021852970123,-1.45911967754364,-0.0693340077996254,0.369081884622574,-0.110697895288467,-0.688868165016174,-0.715210318565369,0.326757401227951,-0.403008460998535
"TCGA-AC-A2FM-11",-3.10718417167664,1.47459077835083,1.9132239818573,0.795038998126984,0.682455480098724,0.983397364616394,-0.957261204719543,-1.09078872203827,0.195818409323692,0.779973089694977,1.42040574550629,1.68945455551147,0.170529440045357,0.0612866133451462,0.561567902565002
"TCGA-D8-A1Y2-01",-1.22527647018433,0.867390990257263,-1.7255220413208,0.130278185009956,-1.08598947525024,-0.285534590482712,1.64326965808868,0.140494242310524,1.36548805236816,-0.92517352104187,-0.110458016395569,0.53486967086792,-0.776066899299622,0.0143037987872958,0.144401878118515
"TCGA-E9-A229-01",-0.103780023753643,1.61149847507477,-0.309159487485886,-1.54430198669434,-1.18376708030701,-0.617747962474823,0.117948763072491,0.682801842689514,0.444394260644913,-0.620892703533173,0.356702983379364,-1.91158962249756,-0.0818126425147057,-1.20774805545807,0.545781195163727
"TCGA-A7-A4SB-01",0.494652986526489,1.32618856430054,-0.193413317203522,-2.04573702812195,0.541350245475769,-1.06356990337372,-0.812452495098114,-0.472489088773727,-0.152987852692604,-1.00850558280945,0.795258164405823,-0.00738539965823293,-1.70567977428436,-0.467082113027573,0.244238793849945
"TCGA-BH-A0HK-01",2.76585745811462,-0.705574512481689,0.759124279022217,1.88707661628723,3.37933421134949,-0.366652101278305,-0.159539267420769,0.00851867720484734,-2.38146710395813,0.657659411430359,1.03383839130402,-1.49132442474365,-0.616913974285126,1.26392352581024,-1.84990739822388
"TCGA-3C-AAAU-01",0.628521025180817,0.984922587871552,-1.30410695075989,-2.28528070449829,0.0367603003978729,-1.61593949794769,-0.620299458503723,2.76323747634888,1.75304698944092,0.792400658130646,-0.990018427371979,0.897999465465546,-0.407530635595322,0.396535217761993,1.99051105976105
"TCGA-A2-A3XW-01",-1.77790236473083,0.889253199100494,0.747264266014099,0.640015542507172,-1.38888776302338,1.55541610717773,-0.435497581958771,0.770447134971619,0.620667397975922,-0.0292894877493382,3.49673533439636,0.537746012210846,-0.0342630073428154,-0.620802998542786,0.545942187309265
"TCGA-D8-A1Y1-01",1.54913341999054,0.589739501476288,-1.69892287254333,-0.928091287612915,-1.97116279602051,-0.422889769077301,0.276555389165878,-1.92061114311218,-0.436101585626602,-1.06218767166138,0.378152787685394,-0.545018911361694,-1.47729504108429,-0.659952342510223,-0.0358084663748741
