"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"COL2A1",-0.00250672176480293,-0.0882432013750076,0.240567073225975,-0.0621982924640179,-0.153676480054855,-0.00162583997007459,-0.537618637084961,-0.0743811130523682,0.248009353876114,-0.33354577422142,-0.00291805248707533,0.233776822686195,-0.173996090888977,-0.159959316253662,0.0467006042599678
"CEACAM5",0.281606614589691,0.285002291202545,0.117886014282703,-0.0775938555598259,0.00198410009033978,-0.111677497625351,0.212614238262177,0.409593909978867,0.00115892931353301,0.355423241853714,0.0400443002581596,-0.121657691895962,-0.13146761059761,0.119038291275501,-0.257356524467468
"TUSC5",-0.14826563000679,0.252330482006073,0.108143240213394,-0.00234859460033476,0.937020182609558,0.193053856492043,-0.0239323414862156,-0.079643540084362,-0.00454500643536448,-0.0507330186665058,-0.00419477093964815,0.0184862613677979,0.0183306485414505,0.0122136836871505,-0.00170388713013381
"CALML5",-0.0585413761436939,-0.316328376531601,0.384006649255753,-0.0362492278218269,-0.00169807707425207,0.000339221063768491,0.402779221534729,0.0168131217360497,0.000671750982291996,0.172310367226601,0.256322115659714,0.106528535485268,0.0178138259798288,-0.04447141289711,-0.293142467737198
"GP2",0.234824731945992,0.497246831655502,0.254078388214111,-0.0421064682304859,-0.000836597697343677,-0.107939533889294,0.210853323340416,0.106264017522335,-0.0597740337252617,0.0826391577720642,-0.183440998196602,0.126260980963707,0.00151623878628016,-0.148450329899788,0.0353288166224957
"GSTT1",-0.0229638814926147,0.0944614857435226,-0.0278316009789705,0.00348303816281259,0.00581037905067205,0.123062998056412,-0.0356464348733425,-0.0259322319179773,-0.0168476812541485,0.049192700535059,0.0949913710355759,0.043817050755024,0.00773352710530162,-0.0212383605539799,0.0170854553580284
"FABP7",-0.324732512235641,-0.348730593919754,0.484698265790939,-0.00138072588015348,-0.0470152571797371,0.138487696647644,0.00555506674572825,-0.0801587924361229,-0.0848319754004478,0.0625546425580978,-0.0577652528882027,0.0282174702733755,0.11350679397583,0.133223116397858,-0.00408033328130841
"C1orf64",0.273848354816437,0.606077373027802,0.336625307798386,-0.00108673947397619,0.00329619110561907,0.011536093428731,0.0794410109519958,-0.0683320686221123,0.0627491995692253,-0.0811279714107513,-0.0249175224453211,0.187159508466721,-0.00532203447073698,-0.188984230160713,-0.18007580935955
"KRT6B",-0.243734151124954,-0.258297741413116,0.728914618492126,-0.00823761988431215,-0.00648941565304995,-0.0278801321983337,-0.175813436508179,0.0536703057587147,-0.0415605716407299,-0.114546254277229,0.418428599834442,-0.351054221391678,0.00420046178624034,0.017450837418437,-0.0383313484489918
"LEP",-0.214487180113792,0.173004403710365,0.0473259426653385,-0.00165337650105357,0.851906180381775,0.205071538686752,-0.0754799619317055,-0.1350267380476,0.00262427562847733,-0.000457700778497383,0.0421994738280773,0.00379843334667385,-0.00271845888346434,0.0879865735769272,-0.00458155572414398
